category,question_type,question,answer
Admissions,original,What is the application deadline?,The application deadline is July 15 for the fall semester.
Admissions,paraphrase,Could you help me with what is the application deadline?,The application deadline is July 15 for the fall semester.
Admissions,paraphrase,I want to know what is the application deadline?,The application deadline is July 15 for the fall semester.
Admissions,paraphrase,Please explain what is the application deadline?,The application deadline is July 15 for the fall semester.
Admissions,paraphrase,Can you tell me what is the application deadline?,The application deadline is July 15 for the fall semester.
Admissions,original,How can I apply for admission?,Students can apply through the university admissions portal.
Admissions,paraphrase,Please explain how can i apply for admission?,Students can apply through the university admissions portal.
Admissions,paraphrase,I want to know how can i apply for admission?,Students can apply through the university admissions portal.
Admissions,paraphrase,Can you tell me how can i apply for admission?,Students can apply through the university admissions portal.
Admissions,paraphrase,What are the details about how can i apply for admission?,Students can apply through the university admissions portal.
Hostel,original,How do I apply for hostel accommodation?,Students can apply for hostel accommodation through the student portal.
Hostel,paraphrase,What are the details about how do i apply for hostel accommodation?,Students can apply for hostel accommodation through the student portal.
Hostel,paraphrase,What are the details about how do i apply for hostel accommodation?,Students can apply for hostel accommodation through the student portal.
Hostel,paraphrase,I want to know how do i apply for hostel accommodation?,Students can apply for hostel accommodation through the student portal.
Hostel,paraphrase,Could you help me with how do i apply for hostel accommodation?,Students can apply for hostel accommodation through the student portal.
Hostel,original,What is the hostel fee per semester?,The hostel fee is $1200 per semester.
Hostel,paraphrase,Could you help me with what is the hostel fee per semester?,The hostel fee is $1200 per semester.
Hostel,paraphrase,I want to know what is the hostel fee per semester?,The hostel fee is $1200 per semester.
Hostel,paraphrase,What are the details about what is the hostel fee per semester?,The hostel fee is $1200 per semester.
Hostel,paraphrase,What are the details about what is the hostel fee per semester?,The hostel fee is $1200 per semester.
Fees,original,How can I pay my tuition fees?,Tuition fees can be paid online through the university payment portal.
Fees,paraphrase,What are the details about how can i pay my tuition fees?,Tuition fees can be paid online through the university payment portal.
Fees,paraphrase,What are the details about how can i pay my tuition fees?,Tuition fees can be paid online through the university payment portal.
Fees,paraphrase,I want to know how can i pay my tuition fees?,Tuition fees can be paid online through the university payment portal.
Fees,paraphrase,I want to know how can i pay my tuition fees?,Tuition fees can be paid online through the university payment portal.
Fees,original,Is there an installment option for tuition fees?,"Yes, students can pay tuition fees in installments."
Fees,paraphrase,Can you tell me is there an installment option for tuition fees?,"Yes, students can pay tuition fees in installments."
Fees,paraphrase,I want to know is there an installment option for tuition fees?,"Yes, students can pay tuition fees in installments."
Fees,paraphrase,Could you help me with is there an installment option for tuition fees?,"Yes, students can pay tuition fees in installments."
Fees,paraphrase,I want to know is there an installment option for tuition fees?,"Yes, students can pay tuition fees in installments."
Scholarships,original,How do I apply for scholarships?,Scholarship applications can be submitted through the financial aid office.
Scholarships,paraphrase,I want to know how do i apply for scholarships?,Scholarship applications can be submitted through the financial aid office.
Scholarships,paraphrase,What are the details about how do i apply for scholarships?,Scholarship applications can be submitted through the financial aid office.
Scholarships,paraphrase,I want to know how do i apply for scholarships?,Scholarship applications can be submitted through the financial aid office.
Scholarships,paraphrase,Can you tell me how do i apply for scholarships?,Scholarship applications can be submitted through the financial aid office.
Scholarships,original,Who is eligible for merit scholarships?,Students with excellent academic performance are eligible.
Scholarships,paraphrase,What are the details about who is eligible for merit scholarships?,Students with excellent academic performance are eligible.
Scholarships,paraphrase,Please explain who is eligible for merit scholarships?,Students with excellent academic performance are eligible.
Scholarships,paraphrase,Could you help me with who is eligible for merit scholarships?,Students with excellent academic performance are eligible.
Scholarships,paraphrase,Could you help me with who is eligible for merit scholarships?,Students with excellent academic performance are eligible.
Attendance,original,What is the minimum attendance requirement?,Students must maintain at least 75% attendance.
Attendance,paraphrase,I want to know what is the minimum attendance requirement?,Students must maintain at least 75% attendance.
Attendance,paraphrase,What are the details about what is the minimum attendance requirement?,Students must maintain at least 75% attendance.
Attendance,paraphrase,Please explain what is the minimum attendance requirement?,Students must maintain at least 75% attendance.
Attendance,paraphrase,Please explain what is the minimum attendance requirement?,Students must maintain at least 75% attendance.
Attendance,original,Can medical leave affect attendance?,Approved medical leave will not negatively affect attendance.
Attendance,paraphrase,What are the details about can medical leave affect attendance?,Approved medical leave will not negatively affect attendance.
Attendance,paraphrase,I want to know can medical leave affect attendance?,Approved medical leave will not negatively affect attendance.
Attendance,paraphrase,Can you tell me can medical leave affect attendance?,Approved medical leave will not negatively affect attendance.
Attendance,paraphrase,I want to know can medical leave affect attendance?,Approved medical leave will not negatively affect attendance.
Examinations,original,How do I register for exams?,Exam registration can be completed through the examination portal.
Examinations,paraphrase,Can you tell me how do i register for exams?,Exam registration can be completed through the examination portal.
Examinations,paraphrase,Please explain how do i register for exams?,Exam registration can be completed through the examination portal.
Examinations,paraphrase,Can you tell me how do i register for exams?,Exam registration can be completed through the examination portal.
Examinations,paraphrase,Can you tell me how do i register for exams?,Exam registration can be completed through the examination portal.
Examinations,original,When are semester exams conducted?,Semester exams are conducted at the end of each semester.
Examinations,paraphrase,Can you tell me when are semester exams conducted?,Semester exams are conducted at the end of each semester.
Examinations,paraphrase,Could you help me with when are semester exams conducted?,Semester exams are conducted at the end of each semester.
Examinations,paraphrase,Please explain when are semester exams conducted?,Semester exams are conducted at the end of each semester.
Examinations,paraphrase,Please explain when are semester exams conducted?,Semester exams are conducted at the end of each semester.
Library,original,What are the library timings?,The library is open from 8 AM to 10 PM.
Library,paraphrase,What are the details about what are the library timings?,The library is open from 8 AM to 10 PM.
Library,paraphrase,What are the details about what are the library timings?,The library is open from 8 AM to 10 PM.
Library,paraphrase,Please explain what are the library timings?,The library is open from 8 AM to 10 PM.
Library,paraphrase,What are the details about what are the library timings?,The library is open from 8 AM to 10 PM.
Library,original,Can I borrow books online?,"Yes, books can be reserved through the library website."
Library,paraphrase,I want to know can i borrow books online?,"Yes, books can be reserved through the library website."
Library,paraphrase,Please explain can i borrow books online?,"Yes, books can be reserved through the library website."
Library,paraphrase,I want to know can i borrow books online?,"Yes, books can be reserved through the library website."
Library,paraphrase,Could you help me with can i borrow books online?,"Yes, books can be reserved through the library website."
Course Registration,original,How do I register for courses?,Course registration is available through the student dashboard.
Course Registration,paraphrase,Can you tell me how do i register for courses?,Course registration is available through the student dashboard.
Course Registration,paraphrase,What are the details about how do i register for courses?,Course registration is available through the student dashboard.
Course Registration,paraphrase,What are the details about how do i register for courses?,Course registration is available through the student dashboard.
Course Registration,paraphrase,Please explain how do i register for courses?,Course registration is available through the student dashboard.
Course Registration,original,Can I change my registered courses?,Students can modify courses during the add/drop period.
Course Registration,paraphrase,I want to know can i change my registered courses?,Students can modify courses during the add/drop period.
Course Registration,paraphrase,Could you help me with can i change my registered courses?,Students can modify courses during the add/drop period.
Course Registration,paraphrase,Please explain can i change my registered courses?,Students can modify courses during the add/drop period.
Course Registration,paraphrase,Could you help me with can i change my registered courses?,Students can modify courses during the add/drop period.
Placements,original,Does the university provide placement assistance?,"Yes, the placement cell provides internship and job support."
Placements,paraphrase,Please explain does the university provide placement assistance?,"Yes, the placement cell provides internship and job support."
Placements,paraphrase,Could you help me with does the university provide placement assistance?,"Yes, the placement cell provides internship and job support."
Placements,paraphrase,Can you tell me does the university provide placement assistance?,"Yes, the placement cell provides internship and job support."
Placements,paraphrase,I want to know does the university provide placement assistance?,"Yes, the placement cell provides internship and job support."
Placements,original,How can I apply for internships?,Internship opportunities are shared through the placement portal.
Placements,paraphrase,Could you help me with how can i apply for internships?,Internship opportunities are shared through the placement portal.
Placements,paraphrase,Could you help me with how can i apply for internships?,Internship opportunities are shared through the placement portal.
Placements,paraphrase,Can you tell me how can i apply for internships?,Internship opportunities are shared through the placement portal.
Placements,paraphrase,Can you tell me how can i apply for internships?,Internship opportunities are shared through the placement portal.
Certificates,original,How do I request a transcript?,Transcript requests can be submitted online.
Certificates,paraphrase,Please explain how do i request a transcript?,Transcript requests can be submitted online.
Certificates,paraphrase,I want to know how do i request a transcript?,Transcript requests can be submitted online.
Certificates,paraphrase,Can you tell me how do i request a transcript?,Transcript requests can be submitted online.
Certificates,paraphrase,Can you tell me how do i request a transcript?,Transcript requests can be submitted online.
Certificates,original,How long does it take to receive certificates?,Certificates are usually issued within 7 working days.
Certificates,paraphrase,Could you help me with how long does it take to receive certificates?,Certificates are usually issued within 7 working days.
Certificates,paraphrase,Could you help me with how long does it take to receive certificates?,Certificates are usually issued within 7 working days.
Certificates,paraphrase,Can you tell me how long does it take to receive certificates?,Certificates are usually issued within 7 working days.
Certificates,paraphrase,What are the details about how long does it take to receive certificates?,Certificates are usually issued within 7 working days.
Admissions,exact_duplicate,What is the application deadline?,The application deadline is July 15 for the fall semester.
Fees,exact_duplicate,How can I pay my tuition fees?,Tuition fees can be paid online through the university payment portal.
Attendance,exact_duplicate,What is the minimum attendance requirement?,Students must maintain at least 75% attendance.
Examinations,exact_duplicate,How do I register for exams?,Exam registration can be completed through the examination portal.
Placements,exact_duplicate,Does the university provide placement assistance?,"Yes, the placement cell provides internship and job support."
Campus,new_question,Where is the nearest ATM on campus?,ATM facilities are located near the main entrance and the student center.
Campus,new_question,How do I report a technical issue with the student portal?,Technical issues can be reported to the IT helpdesk at helpdesk@university.edu.
Campus,new_question,What sports facilities are available at the university?,The university has a gymnasium and outdoor courts available for students.
Campus,new_question,When does the campus cafeteria open?,The cafeteria is open from 7 AM to 9 PM on weekdays.
Campus,new_question,How do I appeal a grade decision?,Grade appeals must be submitted to the academic committee within 10 days.
Campus,new_question,How do I obtain a student ID card?,Student ID cards are issued by the administrative office on the joining day.
Campus,new_question,How can I access the university Wi-Fi?,Students can access Wi-Fi using their university login credentials.
Campus,new_question,Is there a counseling service available?,Free counseling services are available at the student welfare center.
Campus,new_question,What is the process for course withdrawal?,Course withdrawal forms must be submitted before the withdrawal deadline.
Campus,new_question,How do I find my academic advisor?,Academic advisors are listed in the student portal under the advising section.
